node_id,level1,leaf_id,layer_id,flow,node_name,layer_name
1,1,1327,1,3.01159e-4,ASV_00001,IT1
1,1,1243,2,3.18368e-4,ASV_00001,IT2
1,1,2822,3,5.06008e-5,ASV_00001,IT3
1,1,50,5,9.47889e-4,ASV_00001,UK1
1,1,1808,6,2.30093e-4,ASV_00001,UK2
2,1,1542,1,2.64559e-4,ASV_00002,IT1
2,1,1698,2,2.43246e-4,ASV_00002,IT2
2,1,2730,3,8.47421e-5,ASV_00002,IT3
2,1,936,4,3.89473e-4,ASV_00002,FI1
2,1,353,5,6.41191e-4,ASV_00002,UK1
2,1,2623,6,1.1627e-4,ASV_00002,UK2
2,1,2259,7,1.7357e-4,ASV_00002,SE1
3,1,2564,1,1.27972e-4,ASV_00003,IT1
3,1,654,2,4.7854e-4,ASV_00003,IT2
3,1,2837,3,4.5265e-5,ASV_00003,IT3
3,1,1886,4,2.21772e-4,ASV_00003,FI1
3,1,302,5,6.85578e-4,ASV_00003,UK1
3,1,1294,6,3.08351e-4,ASV_00003,UK2
3,1,314,7,6.71823e-4,ASV_00003,SE1
4,1,1892,1,2.21112e-4,ASV_00004,IT1
4,1,340,2,6.51868e-4,ASV_00004,IT2
4,1,2984,3,1.1771e-5,ASV_00004,IT3
4,1,606,4,4.97743e-4,ASV_00004,FI1
4,1,381,5,6.23576e-4,ASV_00004,UK1
4,1,1403,6,2.88807e-4,ASV_00004,UK2
4,1,1594,7,2.5709e-4,ASV_00004,SE1
5,1,1374,1,2.94015e-4,ASV_00005,IT1
5,1,729,2,4.50196e-4,ASV_00005,IT2
5,1,2943,3,2.24599e-5,ASV_00005,IT3
5,1,827,4,4.19237e-4,ASV_00005,FI1
5,1,38,5,9.72776e-4,ASV_00005,UK1
5,1,2664,6,1.08186e-4,ASV_00005,UK2
5,1,465,7,5.70413e-4,ASV_00005,SE1
6,1,1663,1,2.46807e-4,ASV_00006,IT1
6,1,239,2,7.32716e-4,ASV_00006,IT2
6,1,2894,3,3.3138e-5,ASV_00006,IT3
6,1,1173,4,3.31523e-4,ASV_00006,FI1
6,1,325,5,6.65522e-4,ASV_00006,UK1
6,1,2476,6,1.40837e-4,ASV_00006,UK2
6,1,1470,7,2.76682e-4,ASV_00006,SE1
7,1,1420,1,2.85194e-4,ASV_00007,IT1
7,1,1287,2,3.0942e-4,ASV_00007,IT2
7,1,2757,3,7.57347e-5,ASV_00007,IT3
7,1,2047,4,2.0133e-4,ASV_00007,FI1
7,1,85,5,8.96016e-4,ASV_00007,UK1
7,1,2354,6,1.57534e-4,ASV_00007,UK2
7,1,1571,7,2.60533e-4,ASV_00007,SE1
8,1,1472,1,2.76584e-4,ASV_00008,IT1
8,1,1422,2,2.8473e-4,ASV_00008,IT2
8,1,2998,3,6.1195e-6,ASV_00008,IT3
8,1,1226,4,3.20354e-4,ASV_00008,FI1
8,1,510,5,5.41996e-4,ASV_00008,UK1
8,1,2731,6,8.47373e-5,ASV_00008,UK2
8,1,1396,7,2.89668e-4,ASV_00008,SE1
9,1,2305,1,1.64333e-4,ASV_00009,IT1
9,1,816,2,4.21068e-4,ASV_00009,IT2
9,1,2961,3,1.93765e-5,ASV_00009,IT3
9,1,1208,4,3.24186e-4,ASV_00009,FI1
9,1,160,5,8.07242e-4,ASV_00009,UK1
9,1,2798,6,5.68056e-5,ASV_00009,UK2
9,1,984,7,3.76204e-4,ASV_00009,SE1
10,1,2055,1,2.00145e-4,ASV_00010,IT1
10,1,636,2,4.86481e-4,ASV_00010,IT2
10,1,2986,3,1.0571e-5,ASV_00010,IT3
10,1,1190,4,3.28555e-4,ASV_00010,FI1
10,1,370,5,6.30917e-4,ASV_00010,UK1
10,1,2381,6,1.53735e-4,ASV_00010,UK2
10,1,607,7,4.97633e-4,ASV_00010,SE1
11,1,2075,1,1.97398e-4,ASV_00011,IT1
11,1,1017,2,3.67215e-4,ASV_00011,IT2
11,1,2990,3,9.65e-6,ASV_00011,IT3
11,1,582,4,5.05071e-4,ASV_00011,FI1
11,1,20,5,0.00100962,ASV_00011,UK1
11,1,2721,6,9.23519e-5,ASV_00011,UK2
11,1,1960,7,2.12618e-4,ASV_00011,SE1
12,1,1567,1,2.60981e-4,ASV_00012,IT1
12,1,1276,2,3.11489e-4,ASV_00012,IT2
12,1,731,4,4.49611e-4,ASV_00012,FI1
12,1,1195,5,3.26926e-4,ASV_00012,UK1
12,1,1958,6,2.1281e-4,ASV_00012,UK2
12,1,1998,7,2.08669e-4,ASV_00012,SE1
13,1,1480,1,2.74839e-4,ASV_00013,IT1
13,1,1028,2,3.64911e-4,ASV_00013,IT2
13,1,2907,3,3.10871e-5,ASV_00013,IT3
13,1,813,4,4.21704e-4,ASV_00013,FI1
13,1,159,5,8.07705e-4,ASV_00013,UK1
13,1,2355,6,1.57207e-4,ASV_00013,UK2
13,1,1011,7,3.69763e-4,ASV_00013,SE1
14,1,1703,1,2.42833e-4,ASV_00014,IT1
14,1,2272,2,1.70775e-4,ASV_00014,IT2
14,1,2913,3,2.94505e-5,ASV_00014,IT3
14,1,806,4,4.24007e-4,ASV_00014,FI1
14,1,227,5,7.4523e-4,ASV_00014,UK1
14,1,1673,6,2.45819e-4,ASV_00014,UK2
